"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Robert Hassell III","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".291",".341",".631",".280","82","","0.0","0.0","","0.0","0.0","0.0","sa3014701"
"Erisbel Arruebarrena","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".254",".333",".587",".256","64","","0.0","0.0","","0.0","0.0","0.0","15809"
"Darrien Miller","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".262",".294",".556",".251","57","","0.0","0.0","","-0.1","0.0","0.0","sa3011330"
"Miguel Aparicio","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".273",".377",".649",".284","84","","0.0","0.0","","0.0","0.0","0.0","sa917275"
"Ryan Aguilar","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".298",".336",".634",".286","84","","0.0","0.0","","0.0","0.0","0.0","sa918712"
"Osvaldo Tovalin","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".264",".331",".595",".262","70","","0.0","0.0","","0.0","0.0","0.0","sa3016927"
"Steven Souza Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".293",".351",".644",".287","90","","0.0","0.0","","0.0","0.0","0.0","5667"
"Andrew Stevenson","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".303",".371",".675",".296","87","","0.0","0.0","","0.0","0.0","0.0","17932"
"Leo Jimenez","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".284",".295",".579",".263","65","","0.0","0.0","","0.0","0.0","0.0","sa3006891"
"Jacob Buchberger","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".276",".313",".590",".261","70","","0.0","0.0","","0.0","0.0","0.0","sa3014987"
"Nick Yorke","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".278",".341",".619",".273","71","","0.0","0.0","","0.0","0.0","0.0","sa3014546"
"Chavez Young","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".297",".352",".648",".288","82","","0.0","0.0","","0.0","0.0","0.0","sa918963"
"Justin Dean","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".300",".343",".643",".287","80","","0.0","0.0","","0.0","0.0","0.0","sa3007070"
"Ronny Simon","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".249",".339",".588",".258","70","","0.0","0.0","","0.0","0.0","0.0","sa3008365"
"Lorenzo Cedrola","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".293",".378",".671",".293","82","","0.0","0.0","","0.0","0.0","0.0","sa872850"
"Mason Martin","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".269",".407",".677",".293","88","","0.0","0.0","","0.0","0.0","0.0","sa3004885"
"Símon Muzziotti","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".292",".356",".648",".286","81","","0.0","0.0","","0.0","0.0","0.0","19553"
"Rodrigo Vigil","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".251",".289",".540",".241","58","","0.0","0.0","","0.0","0.0","0.0","sa547818"
"Michael Toglia","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".300",".422",".722",".314","88","","0.0","0.0","","0.0","0.0","0.0","sa3010393"
"Luis Toribio","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".266",".321",".588",".262","69","","0.0","0.0","","0.0","0.0","0.0","sa3005541"
"Erik González","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".281",".334",".615",".271","76","","0.0","0.0","","0.0","0.0","0.0","13369"
"Nicholas Northcut","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".245",".384",".629",".273","71","","0.0","0.0","","0.0","0.0","0.0","sa3007640"
"Zach Ashford","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".288",".331",".619",".276","82","","0.0","0.0","","0.0","0.0","0.0","sa3009886"
"Welington Castillo","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".269",".345",".614",".270","70","","0.0","0.0","","0.0","0.0","0.0","3256"
"Brendt Citta","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".295",".349",".644",".284","82","","0.0","0.0","","0.0","0.0","0.0","sa3007633"
"Jacob Hurtubise","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".320",".326",".645",".291","81","","0.0","0.0","","0.0","0.0","0.0","sa3014820"
"Matt Joyce","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".318",".361",".679",".302","92","","0.0","0.0","","0.0","0.0","0.0","3353"
"Ismael Munguia","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".283",".355",".638",".280","81","","0.0","0.0","","0.0","0.0","0.0","sa917132"
"Edgar Quero","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".256",".297",".553",".248","57","","0.0","0.0","","0.0","0.0","0.0","sa3015239"
"Raynel Delgado","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".279",".320",".599",".266","70","","0.0","0.0","","0.0","0.0","0.0","sa3007288"
"Franklin Labour","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".278",".354",".632",".280","81","","0.0","0.0","","0.0","0.0","0.0","sa916848"
"Jordan Lawlar","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".262",".327",".588",".259","62","","0.0","0.0","","0.0","0.0","0.0","sa3017662"
"Straton Podaras","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".255",".293",".548",".248","57","","0.0","0.0","","0.0","0.0","0.0","sa3017322"
"Aldrem Corredor","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".289",".362",".651",".287","82","","0.0","0.0","","0.0","0.0","0.0","sa736852"
"Aaron Zavala","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".303",".326",".628",".283","83","","0.0","0.0","","0.0","0.0","0.0","sa3017665"
"Bryan Ramos","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".260",".340",".600",".265","70","","0.0","0.0","","0.0","0.0","0.0","sa3010024"
"Hernán Pérez","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".277",".352",".629",".276","73","","0.0","0.0","","0.0","0.0","0.0","5751"
"Gordon Beckham","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".275",".306",".581",".261","72","","0.0","0.0","","0.0","0.0","0.0","9015"
"Jeremy Eierman","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".238",".332",".570",".250","63","","0.0","0.0","","0.0","0.0","0.0","sa3007005"
"Evan White","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".269",".362",".631",".278","83","","0.0","0.0","","0.0","0.0","0.0","20078"
"Grant Williams","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".277",".315",".592",".262","63","","0.0","0.0","","0.0","0.0","0.0","sa3006724"
"Omar Meregildo","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".261",".349",".610",".269","69","","0.0","0.0","","0.0","0.0","0.0","sa872765"
"Adael Amador","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".289",".333",".622",".276","62","","0.0","0.0","","0.0","0.0","0.0","sa3014682"
"Brhet Bewley","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".278",".325",".603",".268","70","","0.0","0.0","","0.0","0.0","0.0","sa3007289"
"Jake Hager","ARI","1","5","4","1","0","0","0","0","0","0","1","0","0","0","",".205",".277",".321",".598",".267","68","","0.0","0.0","","-0.2","0.0","0.0","12198"
"Quincy Hamilton","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".287",".341",".628",".280","83","","0.0","0.0","","0.0","0.0","0.0","sa3017215"
"Scott Hurst","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".287",".343",".631",".280","82","","0.0","0.0","","0.0","0.0","0.0","20501"
"Drew Jackson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".293",".315",".607",".275","80","","0.0","0.0","","0.0","0.0","0.0","17807"
"Zac Veen","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".305",".383",".688",".302","80","","0.0","0.0","","0.0","0.0","0.0","sa3014516"
"Richard Urena","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".268",".345",".613",".269","69","","0.0","0.0","","0.0","0.0","0.0","16411"
"Shay Whitcomb","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".247",".325",".573",".252","63","","0.0","0.0","","0.0","0.0","0.0","sa3014948"
"Ryan January","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".157",".256",".272",".529",".243","56","","0.0","0.0","","-0.1","0.0","0.0","sa918104"
"Cade Marlowe","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".272",".353",".625",".275","82","","0.0","0.0","","0.0","0.0","0.0","sa1170288"
"Will Robertson","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".278",".382",".660",".289","82","","0.0","0.0","","0.0","0.0","0.0","sa3009879"
"Craig Dedelow","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".270",".372",".642",".282","82","","0.0","0.0","","0.0","0.0","0.0","sa918840"
"Josh Stowers","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".278",".355",".633",".280","81","","0.0","0.0","","0.0","0.0","0.0","sa3007010"
"Hamlet Marte","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".248",".293",".541",".243","56","","0.0","0.0","","-0.1","0.0","0.0","sa597218"
"David Bañuelos","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".237",".323",".560",".246","57","","0.0","0.0","","0.0","0.0","0.0","sa3004056"
"Jake Noll","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".285",".388",".673",".293","85","","0.0","0.0","","0.0","0.0","0.0","19703"
"Brian Mundell","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".316",".396",".712",".313","87","","0.0","0.0","","0.0","0.0","0.0","sa875185"
"Trey Amburgey","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".267",".372",".638",".279","84","","0.0","0.0","","0.0","0.0","0.0","18425"
"Darell Hernaiz","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".260",".323",".583",".257","62","","0.0","0.0","","0.0","0.0","0.0","sa3011309"
"Justin Connell","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".294",".347",".642",".286","80","","0.0","0.0","","0.0","0.0","0.0","sa3004884"
"Tyler Osik","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".255",".292",".546",".245","56","","0.0","0.0","","-0.1","0.0","0.0","sa3010017"
"Madison Stokes","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".264",".342",".605",".267","68","","0.0","0.0","","0.0","0.0","0.0","sa3008076"
"AJ Graffanino","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".274",".302",".576",".258","62","","0.0","0.0","","0.0","0.0","0.0","sa3008030"
"Josh Bissonette","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".288",".295",".584",".264","68","","0.0","0.0","","0.0","0.0","0.0","sa1170619"
"Cole Roederer","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".298",".349",".647",".285","80","","0.0","0.0","","0.0","0.0","0.0","sa3008184"
"Angelo Castellano","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".269",".305",".574",".257","62","","0.0","0.0","","0.0","0.0","0.0","sa657521"
"Chandler Redmond","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".278",".378",".656",".286","87","","0.0","0.0","","0.0","0.0","0.0","sa1170749"
"Euribiel Angeles","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".264",".297",".561",".249","62","","0.0","0.0","","0.0","0.0","0.0","sa3008877"
"Harrison Wenson","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".243",".311",".554",".248","55","","0.0","0.0","","-0.1","0.0","0.0","sa738936"
"Brandon Howlett","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".279",".327",".606",".271","69","","0.0","0.0","","0.0","0.0","0.0","sa3007745"
"Ali Castillo","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".277",".303",".580",".258","62","","0.0","0.0","","0.0","0.0","0.0","sa507143"
"Justin Toerner","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".299",".311",".610",".277","80","","0.0","0.0","","0.0","0.0","0.0","sa3006735"
"Luis Vazquez","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".264",".314",".578",".257","61","","0.0","0.0","","0.0","0.0","0.0","sa3005131"
"Brenton Doyle","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".286",".410",".696",".301","79","","0.0","0.0","","0.0","0.0","0.0","sa3009965"
"Anibal Sierra","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".260",".299",".559",".251","62","","0.0","0.0","","0.0","0.0","0.0","sa908626"
"Jake Washer","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".239",".323",".562",".247","55","","0.0","0.0","","-0.1","0.0","0.0","sa3011306"
"Julio Carreras","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".268",".359",".628",".274","61","","0.0","0.0","","0.0","0.0","0.0","sa3005598"
"Parker Meadows","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".280",".363",".643",".282","81","","0.0","0.0","","0.0","0.0","0.0","sa3007943"
"Cristian Santana","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".255",".314",".568",".254","62","","0.0","0.0","","0.0","0.0","0.0","sa3015697"
"Jaxx Groshans","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".257",".305",".563",".251","55","","0.0","0.0","","-0.1","0.0","0.0","sa3010160"
"Vance Vizcaino","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".293",".346",".639",".283","79","","0.0","0.0","","0.0","0.0","0.0","sa658828"
"Coby Mayo","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".258",".350",".607",".265","68","","0.0","0.0","","0.0","0.0","0.0","sa3014479"
"Jake Means","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".269",".330",".598",".266","68","","0.0","0.0","","0.0","0.0","0.0","sa1170316"
"Kody Hoese","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".258",".333",".590",".259","67","","0.0","0.0","","0.0","0.0","0.0","sa3010021"
"Adrian Pinto","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".277",".293",".569",".257","60","","0.0","0.0","","0.0","0.0","0.0","sa3015542"
"Israel Pineda","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".238",".326",".564",".247","54","","0.0","0.0","","-0.1","0.0","0.0","sa3004385"
"Agustin Ruiz","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".276",".346",".623",".276","79","","0.0","0.0","","0.0","0.0","0.0","sa3004149"
"Ben Rice","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".239",".309",".548",".243","55","","0.0","0.0","","-0.1","0.0","0.0","sa3016974"
"Ronaiker Palma","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".269",".330",".599",".264","54","","0.0","0.0","","-0.1","0.0","0.0","sa3005624"
"JT Riddle","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".255",".331",".587",".258","58","","0.0","0.0","","-0.1","0.0","0.0","17642"
"Preston Tucker","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".297",".381",".678",".298","88","","0.0","0.0","","0.0","0.0","0.0","13633"
"Kaden Polcovich","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".272",".294",".566",".255","67","","0.0","0.0","","0.0","0.0","0.0","sa3014496"
"Seuly Matias","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".266",".383",".648",".283","80","","0.0","0.0","","0.0","0.0","0.0","sa917039"
"Pete Crow-Armstrong","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".275",".374",".649",".282","78","","0.0","0.0","","0.0","0.0","0.0","sa3014458"
"Chris Sharpe","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".292",".342",".633",".283","79","","0.0","0.0","","0.0","0.0","0.0","sa3004726"
"Jair Camargo","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".229",".328",".557",".244","55","","0.0","0.0","","-0.1","0.0","0.0","sa917333"
"Blake Rutherford","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".271",".369",".640",".279","80","","0.0","0.0","","0.0","0.0","0.0","sa917932"
"Todd Lott","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".268",".359",".626",".275","79","","0.0","0.0","","0.0","0.0","0.0","sa918408"
"Brandon McIlwain","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".273",".340",".613",".271","78","","0.0","0.0","","0.0","0.0","0.0","sa3015076"
"Evan Carter","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".288",".335",".623",".278","80","","0.0","0.0","","0.0","0.0","0.0","sa3014490"
"Chris Cornelius","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".269",".330",".599",".264","66","","0.0","0.0","","0.0","0.0","0.0","sa3010686"
"Gilbert Lara","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".251",".332",".583",".256","60","","0.0","0.0","","0.0","0.0","0.0","sa877337"
"Miguel Hernandez","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".269",".321",".590",".261","60","","0.0","0.0","","0.0","0.0","0.0","sa917055"
"Eli Wilson","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".255",".283",".537",".243","54","","0.0","0.0","","-0.1","0.0","0.0","sa918961"
"Tirso Ornelas","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".283",".339",".622",".275","79","","0.0","0.0","","0.0","0.0","0.0","sa3004048"
"Corey Rosier","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".292",".316",".608",".274","78","","0.0","0.0","","0.0","0.0","0.0","sa3016961"
